SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_9,adm2_14,adm2_15,adm2_12,adm2_1,adm2_3,adm2_8,adm2_10,adm2_11,adm2_4,adm2_13,adm2_7,adm2_2,adm2_5,adm2_6
20747,24,2,33,5,7,1,NA,834,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20754,4054,2,39,12,2,1,NA,1411,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20763,3454,2,58,4,7,0,NA,1050,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20801,2976,2,36,17,2,1,NA,1275,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20815,8893,2,63,2,6,0,NA,1442,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20822,11706,2,21,24,5,1,NA,850,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20844,3023,2,30,3,3,1,NA,2059,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20890,3943,2,24,17,5,1,NA,1314,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20946,9491,2,65,23,3,0,NA,1371,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20971,9096,2,45,10,5,1,NA,2297,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21017,11702,2,65,23,7,0,NA,2027,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21058,84,2,57,27,6,0,NA,2453,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21060,2545,2,30,14,6,1,NA,1302,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21077,781,2,30,14,6,1,NA,1892,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21088,5359,2,21,11,6,1,NA,1700,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21121,8552,2,32,3,5,1,NA,2142,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21133,2249,2,30,26,7,1,NA,1940,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21150,10737,2,23,6,2,1,NA,1189,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21230,4379,2,55,29,5,0,NA,1796,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21272,9906,2,26,7,3,1,NA,2349,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21277,4957,2,47,27,4,1,NA,1629,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21307,4881,2,39,17,4,1,NA,1801,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21361,1807,2,53,21,3,0,NA,1540,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21422,6228,2,42,8,3,1,NA,2439,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21432,9838,2,55,17,2,0,NA,1417,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21487,6090,2,35,1,3,1,NA,1362,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21504,10672,2,30,27,3,1,NA,847,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21549,10893,2,40,9,4,1,NA,1539,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21558,858,2,33,17,1,1,NA,1505,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21561,9584,2,34,5,4,1,NA,1969,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21563,11749,2,40,8,5,1,NA,2664,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21573,8564,2,36,3,3,1,NA,2059,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21588,6875,2,60,30,4,0,NA,1398,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21598,6260,2,40,1,3,1,NA,2687,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21619,3644,2,55,17,1,0,NA,1463,1,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21653,9052,2,60,5,5,0,NA,2027,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21685,67,2,52,12,2,0,NA,1171,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21686,8583,2,24,9,4,1,NA,2207,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21744,5749,2,43,29,1,1,NA,1432,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21745,268,2,22,17,5,1,NA,1136,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21750,10799,2,20,2,4,1,NA,2088,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21762,6112,2,27,4,6,1,NA,1535,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21769,11900,2,70,26,7,0,NA,1985,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21806,8686,2,42,1,1,1,NA,1372,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21851,2989,2,41,11,2,1,NA,1475,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21881,415,2,35,31,2,1,NA,1396,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21901,9706,2,35,30,3,1,NA,1834,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21902,6773,2,30,12,2,1,NA,1705,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21904,2380,2,23,14,6,1,NA,1735,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21907,1925,2,33,5,4,1,NA,1434,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
