SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_9,adm2_4,adm2_14,adm2_15,adm2_11,adm2_10,adm2_12,adm2_2,adm2_7,adm2_1,adm2_3,adm2_8,adm2_13,adm2_5,adm2_6
2621,10911,2,27,15,38,132,5.72,5.3,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2622,10321,2,48,4,139,139,11.929999999999998,8.599999999999998,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2635,1857,1,45,8,63,125,11.29,7.1899999999999995,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2654,11127,1,58,27,77,141,6.74,6.469999999999999,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2708,2424,2,51,7,60,126,6.98,6.52,1,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2716,3987,2,56,5,79,83,4.399999999999999,3.3599999999999994,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2729,268,1,55,17,75,106,5.829999999999999,4.0200000000000005,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2733,10078,2,39,29,35,134,8.04,4.56,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2742,7172,2,47,27,29,208,11.469999999999997,8.219999999999997,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2752,9287,1,36,20,47,221,8.35,9.12,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2772,2839,1,21,9,137,87,3.9499999999999993,3.529999999999998,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2779,3912,2,19,25,40,211,23.96,13.429999999999996,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2780,8268,2,75,30,23,81,4.05,3.4099999999999993,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2785,4373,2,50,5,61,114,5.23,4.13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2811,10735,1,41,23,247,230,9.75,8.479999999999997,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2812,11174,2,56,22,235,271,11.909999999999997,9.939999999999998,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2822,4392,2,19,18,41,72,4.969999999999998,4.699999999999999,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2828,6138,1,35,6,29,161,4.6899999999999995,3.1799999999999997,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2831,2816,2,32,14,135,139,6.879999999999998,5.96,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2841,9375,2,32,11,75,156,6.84,6.55,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2860,10439,2,24,3,105,189,8.420000000000002,7.439999999999999,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2877,8665,2,34,10,179,125,9.089999999999998,6.3999999999999995,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
