SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_5,adm2_7,adm2_2,adm2_4,adm2_6
6934,2228,1,40,22,17,127,15.540000000000001,10.25,0,0,5,0,0,0,0,1,0,0,0,0
6938,9825,1,55,10,30,383,37.71,26.490000000000002,3.6009,0,2,0,0,0,0,0,0,1,0,0
7004,10167,1,39,29,58,342,30,21.350000000000005,0.54,0,5,0,0,0,0,1,0,0,0,0
7020,7310,1,35,8,31,227,18.46,12.670000000000002,0.5292,0,8,0,0,0,1,0,0,0,0,0
7047,1048,1,21,10,10,138,16.19,12.39,0,0,8,0,0,0,1,0,0,0,0,0
7052,5448,1,46,30,32,248,20.88,12.920000000000002,0.4032,0,4,0,0,0,0,0,0,0,1,0
7061,10873,1,29,19,12,133,10.82,7.879999999999999,2.5767,0,3,0,1,0,0,0,0,0,0,0
7083,2429,1,69,25,148,191,11.91,8.01,1.4545,0,6,0,0,0,0,0,0,0,0,1
7292,3185,1,18,20,58,252,21.16,13.629999999999999,0.9891,0,8,0,0,0,1,0,0,0,0,0
7323,10425,1,18,5,19,216,17.44,12.81,0,0,9,1,0,0,0,0,0,0,0,0
7338,2468,1,20,15,106,223,19.779999999999998,15.239999999999998,0,0,9,1,0,0,0,0,0,0,0,0
7366,9546,1,20,30,12,151,13.559999999999999,10.11,0,0,1,0,0,1,0,0,0,0,0,0
7394,824,1,18,17,21,91,12.069999999999999,8.6,0.2502,0,6,0,0,0,0,0,0,0,0,1
7440,2468,1,48,15,136,237,19.669999999999998,14.719999999999997,0,0,9,1,0,0,0,0,0,0,0,0
7487,7721,1,36,23,39,136,10.74,6.21,0.45,0,6,0,0,0,0,0,0,0,0,1
7519,7523,1,27,24,33,192,15.280000000000001,9.569999999999999,0,0,2,0,0,0,0,0,0,1,0,0
7545,98,1,18,3,17,139,49.27,11.660000000000002,1.9692,0,1,0,0,1,0,0,0,0,0,0
7548,11125,1,21,29,105,219,27.749999999999996,17.57,5.0525,0,7,0,0,0,0,0,1,0,0,0
7559,1461,1,55,10,177,232,14.829999999999998,11.700000000000001,0,0,2,0,0,0,0,0,0,1,0,0
7593,11416,1,28,21,137,287,25.900000000000006,19.529999999999998,0.7497,0,9,1,0,0,0,0,0,0,0,0
7600,11472,1,50,2,2103,245,13.9,4.4,0,0,4,0,0,0,0,0,0,0,1,0
7610,5095,1,30,8,103,250,18.669999999999995,13.930000000000001,0.45,0,8,0,0,0,1,0,0,0,0,0
7662,9765,1,75,5,21,197,17.29,13.29,0.3114,0,5,0,0,0,0,1,0,0,0,0
7721,3687,1,18,19,44,108,8.51,5.86,0.306,0,3,0,1,0,0,0,0,0,0,0
7794,3530,1,36,29,4,124,7.329999999999999,6.8,0.54,0,5,0,0,0,0,1,0,0,0,0
7822,10858,1,45,23,17,177,22.56,14.850000000000001,2.1159,0,7,0,0,0,0,0,1,0,0,0
7843,11016,1,26,14,62,65,5.640000000000001,4.05,0.036,0,8,0,0,0,1,0,0,0,0,0
7895,4444,1,40,10,25,162,15.520000000000001,10.069999999999999,0,0,6,0,0,0,0,0,0,0,0,1
7935,8855,1,24,31,73,253,30.12,20.060000000000002,0,0,7,0,0,0,0,0,1,0,0,0
