SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_1,adm2_5,adm2_2,adm2_8,adm2_4,adm2_7,adm2_6,adm2_3
22292,3033,1,42,26,1608,0,8,0,0,0,1,0,0,0,0
22308,9590,1,50,23,1825,0,8,0,0,0,1,0,0,0,0
22398,6134,1,32,23,2152,0,2,0,0,1,0,0,0,0,0
22439,323,1,37,15,1618,0,3,0,0,0,0,0,0,0,1
22458,1080,1,40,11,1451,0,3,0,0,0,0,0,0,0,1
22467,10831,1,30,31,2344,0,3,0,0,0,0,0,0,0,1
22479,4259,1,21,13,2112,0,1,1,0,0,0,0,0,0,0
22494,1256,1,30,22,2126,0,5,0,1,0,0,0,0,0,0
22518,7924,1,50,25,2030,0,5,0,1,0,0,0,0,0,0
22593,3122,1,47,10,1893,0,7,0,0,0,0,0,1,0,0
22670,4272,1,30,29,1791,0,2,0,0,1,0,0,0,0,0
22775,35,1,21,22,1875,0,2,0,0,1,0,0,0,0,0
22863,6081,1,23,25,2082,0,4,0,0,0,0,1,0,0,0
22897,4436,1,44,13,3349,0,1,1,0,0,0,0,0,0,0
22906,2529,1,20,24,1975,0,8,0,0,0,1,0,0,0,0
23066,3587,1,68,23,2112,0,1,1,0,0,0,0,0,0,0
23123,11815,1,22,16,2307,0,1,1,0,0,0,0,0,0,0
23135,5121,1,58,15,2320,0,6,0,0,0,0,0,0,1,0
23166,1119,1,35,22,2751,0,8,0,0,0,1,0,0,0,0
23244,3177,1,18,16,2382,0,1,1,0,0,0,0,0,0,0
23255,17,1,38,25,1383,0,2,0,0,1,0,0,0,0,0
23279,4483,1,24,20,2215,0,4,0,0,0,0,1,0,0,0
23286,9179,1,48,19,1666,0,3,0,0,0,0,0,0,0,1
23319,6470,1,35,3,1650,0,5,0,1,0,0,0,0,0,0
23365,2791,1,25,12,2452,0,6,0,0,0,0,0,0,1,0
23366,4845,1,25,13,4518,0,1,1,0,0,0,0,0,0,0
23401,11897,1,39,11,1822,0,7,0,0,0,0,0,1,0,0
23404,5310,1,48,9,2118,0,7,0,0,0,0,0,1,0,0
23492,6464,1,40,9,2134,0,2,0,0,1,0,0,0,0,0
23515,435,1,25,21,1836,0,8,0,0,0,1,0,0,0,0
23551,7080,1,35,11,2455,0,7,0,0,0,0,0,1,0,0
23562,9949,1,33,13,1956,0,4,0,0,0,0,1,0,0,0
23572,1933,1,65,21,2026,0,1,1,0,0,0,0,0,0,0
23690,10705,1,30,9,3423,0,7,0,0,0,0,0,1,0,0
23754,6603,1,28,20,1933,0,1,1,0,0,0,0,0,0,0
23778,2012,1,35,22,1324,0,2,0,0,1,0,0,0,0,0
23831,10050,1,27,9,1902,0,2,0,0,1,0,0,0,0,0
23862,6409,1,85,17,1011,0,3,0,0,0,0,0,0,0,1
23884,3940,1,25,22,2165,0,2,0,0,1,0,0,0,0,0
23905,11644,1,23,19,1907,0,4,0,0,0,0,1,0,0,0
24054,7001,1,36,29,1933,0,3,0,0,0,0,0,0,0,1
24066,1226,1,25,21,2644,0,6,0,0,0,0,0,0,1,0
24068,6302,1,30,18,2018,0,6,0,0,0,0,0,0,1,0
24093,9645,1,48,19,2414,0,8,0,0,0,1,0,0,0,0
24391,5679,1,45,21,2923,0,8,0,0,0,1,0,0,0,0
24412,3122,1,73,10,705,0,7,0,0,0,0,0,1,0,0
24507,1047,1,26,22,1957,0,7,0,0,0,0,0,1,0,0
24515,5127,1,30,14,2662,0,1,1,0,0,0,0,0,0,0
24534,7110,1,67,1,2298,1,5,0,1,0,0,0,0,0,0
24557,10050,1,60,9,1950,0,2,0,0,1,0,0,0,0,0
24566,2573,1,75,13,2089,0,1,1,0,0,0,0,0,0,0
24633,11769,1,20,31,1884,0,3,0,0,0,0,0,0,0,1
24672,2673,1,20,15,2763,0,6,0,0,0,0,0,0,1,0
24744,11565,1,45,22,2613,0,4,0,0,0,0,1,0,0,0
24825,3815,1,31,10,1621,0,7,0,0,0,0,0,1,0,0
24901,1905,1,22,15,1909,0,4,0,0,0,0,1,0,0,0
25083,3607,1,22,27,697,0,2,0,0,1,0,0,0,0,0
25142,4098,1,19,19,2527,0,4,0,0,0,0,1,0,0,0
25163,4847,1,20,27,1638,0,5,0,1,0,0,0,0,0,0
25287,4005,1,75,14,1784,0,4,0,0,0,0,1,0,0,0
25315,1741,1,32,23,1942,0,4,0,0,0,0,1,0,0,0
25387,11179,1,52,26,1707,0,8,0,0,0,1,0,0,0,0
25422,9917,1,58,27,2364,0,8,0,0,0,1,0,0,0,0
25444,6517,1,45,18,1491,0,3,0,0,0,0,0,0,0,1
25479,4656,1,35,8,1886,0,7,0,0,0,0,0,1,0,0
25481,7612,1,45,14,2012,0,1,1,0,0,0,0,0,0,0
25552,11144,1,45,13,1214,0,3,0,0,0,0,0,0,0,1
25571,3440,1,22,16,2633,0,6,0,0,0,0,0,0,1,0
25574,6969,1,47,17,1812,0,1,1,0,0,0,0,0,0,0
25697,4894,1,59,10,2015,0,7,0,0,0,0,0,1,0,0
25704,9230,1,36,8,1631,0,2,0,0,1,0,0,0,0,0
25747,979,1,37,28,1534,0,6,0,0,0,0,0,0,1,0
25798,10191,1,42,17,1807,0,1,1,0,0,0,0,0,0,0
25819,5643,1,18,21,1631,0,3,0,0,0,0,0,0,0,1
25850,9139,1,25,22,1204,0,2,0,0,1,0,0,0,0,0
25854,6998,1,60,14,1802,0,4,0,0,0,0,1,0,0,0
25869,2098,1,25,14,1962,0,1,1,0,0,0,0,0,0,0
25972,2334,1,45,22,1582,0,4,0,0,0,0,1,0,0,0
25975,4214,1,60,24,1799,0,4,0,0,0,0,1,0,0,0
25995,11213,1,18,21,2212,0,6,0,0,0,0,0,0,1,0
26020,1408,1,20,27,2117,0,5,0,1,0,0,0,0,0,0
26079,9552,1,32,28,1947,0,8,0,0,0,1,0,0,0,0
26110,1226,1,21,21,2644,0,6,0,0,0,0,0,0,1,0
26143,6798,1,56,19,2103,0,8,0,0,0,1,0,0,0,0
26146,8932,1,18,22,1786,0,4,0,0,0,0,1,0,0,0
26159,7812,1,45,23,1890,0,2,0,0,1,0,0,0,0,0
26214,8198,1,40,19,2495,0,8,0,0,0,1,0,0,0,0
26237,2044,1,41,12,2656,0,6,0,0,0,0,0,0,1,0
26242,9862,1,47,8,1743,0,5,0,1,0,0,0,0,0,0
26288,2667,1,19,16,1612,0,5,0,1,0,0,0,0,0,0
26329,9907,1,65,17,831,0,4,0,0,0,0,1,0,0,0
26397,7222,1,30,21,1614,0,3,0,0,0,0,0,0,0,1
26582,1052,1,45,14,3160,0,1,1,0,0,0,0,0,0,0
26588,10872,1,40,16,459,0,6,0,0,0,0,0,0,1,0
26623,1173,1,58,13,1972,0,1,1,0,0,0,0,0,0,0
26640,9142,1,22,18,1595,0,3,0,0,0,0,0,0,0,1
26663,6659,1,36,16,2457,0,5,0,1,0,0,0,0,0,0
26702,4,1,50,9,1642,0,2,0,0,1,0,0,0,0,0
26930,10775,1,30,21,2498,0,2,0,0,1,0,0,0,0,0
26932,10633,1,31,8,2043,0,2,0,0,1,0,0,0,0,0
26944,8498,1,30,21,2004,0,6,0,0,0,0,0,0,1,0
26946,5452,1,52,17,3029,0,7,0,0,0,0,0,1,0,0
26965,3495,1,58,26,1841,0,6,0,0,0,0,0,0,1,0
26982,3640,1,60,4,2042,0,5,0,1,0,0,0,0,0,0
27036,2584,1,55,20,3567,0,8,0,0,0,1,0,0,0,0
27096,8240,1,60,18,1686,0,6,0,0,0,0,0,0,1,0
27137,5793,1,46,20,1348,0,5,0,1,0,0,0,0,0,0
27175,4756,1,30,29,1616,0,8,0,0,0,1,0,0,0,0
27187,7618,1,22,22,2851,0,8,0,0,0,1,0,0,0,0
27212,10713,1,28,19,2489,0,5,0,1,0,0,0,0,0,0
