SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_2,adm2_4,adm2_3,adm2_5,adm2_7,adm2_6,adm2_11,adm2_10,adm2_8,adm2_1,adm2_9
5999,10001,1,50,5,2021,0,2,1,0,0,0,0,0,0,0,0,0,0
6032,777,1,31,16,2167,0,9,0,0,0,0,0,0,0,0,0,0,1
6100,8272,1,73,9,2317,0,1,0,0,0,0,0,0,0,0,0,1,0
6102,3773,1,40,10,2371,0,3,0,0,1,0,0,0,0,0,0,0,0
6123,1960,1,22,3,2040,0,7,0,0,0,0,1,0,0,0,0,0,0
6194,10034,1,30,17,2669,0,4,0,1,0,0,0,0,0,0,0,0,0
6210,10106,1,20,23,1964,0,6,0,0,0,0,0,1,0,0,0,0,0
6232,7666,1,27,13,2012,0,5,0,0,0,1,0,0,0,0,0,0,0
6233,4331,1,30,11,2307,0,9,0,0,0,0,0,0,0,0,0,0,1
6284,9338,1,45,22,2459,0,2,1,0,0,0,0,0,0,0,0,0,0
6293,9994,1,45,5,2291,0,9,0,0,0,0,0,0,0,0,0,0,1
6330,2849,1,28,19,2286,0,11,0,0,0,0,0,0,1,0,0,0,0
6332,10684,1,30,22,2356,0,2,1,0,0,0,0,0,0,0,0,0,0
6394,148,1,30,16,2008,0,11,0,0,0,0,0,0,1,0,0,0,0
6402,1240,1,26,20,2320,0,11,0,0,0,0,0,0,1,0,0,0,0
6419,6791,1,54,19,1651,0,11,0,0,0,0,0,0,1,0,0,0,0
6493,8389,1,35,21,2071,0,8,0,0,0,0,0,0,0,0,1,0,0
6524,1249,1,76,27,1665,0,1,0,0,0,0,0,0,0,0,0,1,0
6525,7541,1,28,20,1978,0,9,0,0,0,0,0,0,0,0,0,0,1
6684,4923,1,50,12,2466,0,3,0,0,1,0,0,0,0,0,0,0,0
6686,8272,1,36,9,2711,0,1,0,0,0,0,0,0,0,0,0,1,0
6695,9841,1,40,20,2712,0,11,0,0,0,0,0,0,1,0,0,0,0
