SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_5,adm2_7,adm2_2,adm2_4,adm2_6
2449,11549,1,38,18,1456,0,5,0,0,0,0,1,0,0,0,0
2496,2646,1,60,23,1471,0,4,0,0,0,0,0,0,0,1,0
2521,2285,1,43,10,2107,0,2,0,0,0,0,0,0,1,0,0
2544,7724,1,56,1,1601,1,1,0,0,1,0,0,0,0,0,0
2623,4550,1,18,29,768,0,6,0,0,0,0,0,0,0,0,1
2683,8424,1,50,19,2365,0,3,0,1,0,0,0,0,0,0,0
2698,1888,1,24,7,1553,1,8,0,0,0,1,0,0,0,0,0
2817,11048,1,23,8,1477,0,8,0,0,0,1,0,0,0,0,0
2881,2856,1,35,25,1312,0,6,0,0,0,0,0,0,0,0,1
2883,1157,1,72,21,1760,0,8,0,0,0,1,0,0,0,0,0
2885,6397,1,60,18,2308,0,5,0,0,0,0,1,0,0,0,0
2929,6933,1,42,4,1672,0,8,0,0,0,1,0,0,0,0,0
2947,6931,1,45,5,1483,0,9,1,0,0,0,0,0,0,0,0
2967,1147,1,26,27,1714,0,1,0,0,1,0,0,0,0,0,0
3035,7367,1,40,3,1387,0,7,0,0,0,0,0,1,0,0,0
3043,11733,1,23,8,1338,0,4,0,0,0,0,0,0,0,1,0
3091,684,1,22,22,1061,0,6,0,0,0,0,0,0,0,0,1
3153,3807,1,38,30,1597,0,1,0,0,1,0,0,0,0,0,0
3196,5357,1,18,31,1753,0,7,0,0,0,0,0,1,0,0,0
3202,11803,1,20,6,1694,0,4,0,0,0,0,0,0,0,1,0
3390,10119,1,35,14,2354,0,8,0,0,0,1,0,0,0,0,0
3429,6378,1,25,6,417,0,7,0,0,0,0,0,1,0,0,0
3549,10065,1,28,18,1873,0,5,0,0,0,0,1,0,0,0,0
3560,2898,1,18,24,1210,0,2,0,0,0,0,0,0,1,0,0
3571,5446,1,27,30,1252,0,1,0,0,1,0,0,0,0,0,0
3586,4958,1,27,18,1500,0,9,1,0,0,0,0,0,0,0,0
3598,4114,1,45,15,376,0,8,0,0,0,1,0,0,0,0,0
3602,1626,1,40,27,1234,0,4,0,0,0,0,0,0,0,1,0
3615,1297,1,20,11,634,0,2,0,0,0,0,0,0,1,0,0
3682,8678,1,40,21,4818,0,9,1,0,0,0,0,0,0,0,0
3692,762,1,55,12,2449,0,4,0,0,0,0,0,0,0,1,0
3696,10347,1,65,30,1848,0,4,0,0,0,0,0,0,0,1,0
3704,10165,1,49,9,1439,0,8,0,0,0,1,0,0,0,0,0
3728,10134,1,61,12,2127,0,8,0,0,0,1,0,0,0,0,0
3747,925,1,34,13,3677,0,2,0,0,0,0,0,0,1,0,0
3803,3241,1,36,8,2082,0,9,1,0,0,0,0,0,0,0,0
3856,8866,1,32,23,1629,0,1,0,0,1,0,0,0,0,0,0
3878,326,1,25,18,985,0,9,1,0,0,0,0,0,0,0,0
4013,1260,1,25,27,2020,0,3,0,1,0,0,0,0,0,0,0
4034,10829,1,45,13,1236,0,8,0,0,0,1,0,0,0,0,0
4040,7919,1,38,23,1111,0,5,0,0,0,0,1,0,0,0,0
4042,2336,1,45,19,1452,0,3,0,1,0,0,0,0,0,0,0
4076,6425,1,40,2,2530,0,7,0,0,0,0,0,1,0,0,0
4172,2728,1,30,29,3197,0,5,0,0,0,0,1,0,0,0,0
4237,7895,1,30,18,2776,0,1,0,0,1,0,0,0,0,0,0
4294,6619,1,42,21,1829,0,3,0,1,0,0,0,0,0,0,0
4295,4384,1,65,23,1354,0,2,0,0,0,0,0,0,1,0,0
4336,7724,1,18,1,974,1,1,0,0,1,0,0,0,0,0,0
4358,2329,1,65,15,1988,0,8,0,0,0,1,0,0,0,0,0
4394,6066,1,35,1,2147,1,7,0,0,0,0,0,1,0,0,0
4406,5042,1,60,10,2326,0,2,0,0,0,0,0,0,1,0,0
4408,9104,1,62,7,1814,1,8,0,0,0,1,0,0,0,0,0
4411,3496,1,40,9,3107,0,5,0,0,0,0,1,0,0,0,0
4471,7195,1,38,8,593,0,4,0,0,0,0,0,0,0,1,0
4475,5784,1,70,7,1340,1,7,0,0,0,0,0,1,0,0,0
4510,4942,1,32,18,1835,0,5,0,0,0,0,1,0,0,0,0
4513,9265,1,29,22,812,0,6,0,0,0,0,0,0,0,0,1
4574,1034,1,30,23,1701,0,6,0,0,0,0,0,0,0,0,1
4590,3101,1,42,27,2956,0,7,0,0,0,0,0,1,0,0,0
4602,7538,1,42,28,2574,0,4,0,0,0,0,0,0,0,1,0
4603,3692,1,23,12,1505,0,4,0,0,0,0,0,0,0,1,0
4636,7108,1,38,9,2003,0,2,0,0,0,0,0,0,1,0,0
4683,2517,1,55,26,1746,0,1,0,0,1,0,0,0,0,0,0
4691,10624,1,48,14,1226,0,9,1,0,0,0,0,0,0,0,0
4714,2080,1,58,8,1371,0,8,0,0,0,1,0,0,0,0,0
4765,11734,1,35,8,1476,0,5,0,0,0,0,1,0,0,0,0
4790,1324,1,32,26,1749,0,4,0,0,0,0,0,0,0,1,0
4791,8261,1,18,22,1943,0,6,0,0,0,0,0,0,0,0,1
4836,1585,1,70,23,656,0,7,0,0,0,0,0,1,0,0,0
4888,10717,1,28,3,2498,0,1,0,0,1,0,0,0,0,0,0
4904,5295,1,30,10,2714,0,8,0,0,0,1,0,0,0,0,0
4927,11092,1,31,27,1950,0,2,0,0,0,0,0,0,1,0,0
4966,2468,1,26,15,2493,0,9,1,0,0,0,0,0,0,0,0
4998,8119,1,22,27,2479,0,7,0,0,0,0,0,1,0,0,0
5005,7243,1,20,26,4009,0,4,0,0,0,0,0,0,0,1,0
5028,1004,1,80,29,959,0,7,0,0,0,0,0,1,0,0,0
5066,10326,1,70,18,2299,0,8,0,0,0,1,0,0,0,0,0
5101,6771,1,25,4,2023,0,8,0,0,0,1,0,0,0,0,0
5137,11323,1,60,4,1819,0,4,0,0,0,0,0,0,0,1,0
5208,8591,1,21,18,2172,0,5,0,0,0,0,1,0,0,0,0
5239,2514,1,26,17,2480,0,6,0,0,0,0,0,0,0,0,1
5260,6230,1,70,27,2536,0,7,0,0,0,0,0,1,0,0,0
5263,1754,1,35,7,1331,1,9,1,0,0,0,0,0,0,0,0
5297,8428,1,22,3,1084,0,7,0,0,0,0,0,1,0,0,0
5337,10712,1,55,4,1864,0,3,0,1,0,0,0,0,0,0,0
5365,4321,1,35,24,1544,0,2,0,0,0,0,0,0,1,0,0
5371,8971,1,40,9,1275,0,9,1,0,0,0,0,0,0,0,0
5388,1393,1,45,17,2054,0,6,0,0,0,0,0,0,0,0,1
5540,11700,1,58,10,2546,0,8,0,0,0,1,0,0,0,0,0
5577,8713,1,31,27,2232,0,7,0,0,0,0,0,1,0,0,0
5582,9687,1,52,19,1810,0,1,0,0,1,0,0,0,0,0,0
5595,2773,1,18,27,1655,0,3,0,1,0,0,0,0,0,0,0
5616,1733,1,21,14,2338,0,6,0,0,0,0,0,0,0,0,1
5622,11667,1,40,28,1733,0,1,0,0,1,0,0,0,0,0,0
